KEY,English,French,German,Spanish,Japanese,Chinese,Italian,Russian,Portuguese,Deutsch
Language,English,Français,Espanol
Language_Suffix,"","_fr","_de","_es","_jp","_cn","_it","_ru","_po","_nl"
Language_Prefix,"en/","fr/","de/","es/","jp/","cn/","it/","ru/","po/","nl/"
Language_icon,"Lang_English","Lang_French","Lang_German","Lang_Spanish","Lang_Japanese","Lang_Chinese","Lang_Italian","Lang_Russian","Lang_Portuguese","Lang_Deutsch"

PrivacyPolicyHeader,"Tiggly Privacy Policy","Tiggly Politique de confidentialité","Tiggly Datenschutzrichtlinie","Tiggly Política de privacidad","Tiggly プライバシー ポリシー","Tiggly 隐私权政策","Tiggly Privacy Policy","Tiggly Правила конфиденциальности","Tiggly Política de Privacidade","Tiggly Privacybeleid"
PrivacyPolicyLabel,"Privacy Policy","Politique de confidentialité","Datenschutzrichtlinie","Política de privacidad","プライバシー ポリシー","隐私权政策","Privacy Policy","Правила конфиденциальности","Política de Privacidade","Privacybeleid"
ForParents,"For\nParents","Pour\nle\Parents","Fur\ndie\nEltern","Para\nlos\nPadres","親のため","对于父母","Per\ni\nGenitori","Для родителей","Para\nos\npais","Voor\nOuders"
BackgroundMusic,"Music","musique","Musik","Música","ミュージック","音乐","Musica","Музыка","Música","Muziek"
enter,"enter","entrer","eingeben","entrar","入力","输入","entra","войти","enter","enter"
Sounds,"Sounds","sons","Töne","Sonidos","音","声音","Suoni","звуки","Som","Geluiden"
VoiceOver,"Voice Over","voix off","Sprachausgabe","Voz en off","ボイスオー\nバー","旁白","Voce\nfuori campo","закадровое\nозвучивание","VoiceOver","Stem\nbegeleiding"
On,"on","on","an","encendido","オン","开启","on","включить","ligar","aan"
Off,"off","off","aus","apagado","オフ","关闭","off","выключить","desligar","uit"
Settings,"Settings","paramètres","Einstellungen","Opciones","設定","设定","Impostazioni","Настройки","Definições","Instellingen"
ResetMyRecipe,"Reset My Recipes","remettre mes recettes à zéro","Meine Rezepte löschen","Borrar mis recetas","レシピをリセット","重设我的食谱","Resetta le mie ricette","Перезагрузить мои рецепты","Remover minhas receitas","Reset mijn recepten"
WatchTigglyCount,"Watch\nTiggly Counts","Regardez\nTiggly Counts","Schaue\nTiggly Counts","Mira\nTiggly Counts","で遊ぶ\nTiggly Counts","观看\n数数儿游戏","Guarda i\nContagiochi Tiggly","смотреть\nСчёт Тигли","Assista\nTiggly Counts","Kijk\nTiggly Counts"
Credits,"Credits","Crédits","Abspann","Créditos","Credits","工作人员","Credits","Credits","Créditos","Credits"

// Unlock Screen
Howdoyouwanttoplay,"How do you want to play?","Comment voulez-vous jouer?","Wie möchtest du spielen?","¿Cómo quieres jugar?","どうやって遊ぶ？","想如何进行本游戏?","Come vuoi giocare?","Как вы хотите играть?","Como você quer jogar?","Hoe wil je spelen?"
Or,"or","ou","oder","o","それとも","或","oppure","или","ou","of"

// kitchen 1
Strawberry,"Strawberry","fraise","Erdbeere","fresa","個のいちご","草莓","fragola","клубника","morango","aardbei"
Strawberries,"Strawberries","fraises","Erdbeeren","fresas","個のいちご","草莓","fragole","ягоды клубники","morangos","aardbeien"
Strawberries_Rus,"","","","","","","","ягод клубники","",""

Egg,"Egg","œuf","Ei","huevo","個の卵","蛋","uovo","яйцо","ovo","ei"
Eggs,"Eggs","œufs","Eier","huevos","個の卵","蛋","uova","яйца","ovos","eieren"
Eggs_Rus,"","","","","","","","яиц","",""

